,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9071079160472966,0.8850549848001803,0.8866079242833746,0.8327612651906946,0.921501861627439,0.8879231803106099,0.9348179723926328,0.8577127375964336,0.8921032963083929,0.9158781263111676,0.7758317010778565,0.9293181153500346,0.9147287132280884,0.7686969300764587,0.8644463813743454,0.804226374206015,0.9073478282309048,0.8548075155786364,0.8388910643743285,0.8393677039228307,0.8808872112300205,0.8832211001731525,0.9691628068657456,0.9025505397170854,0.8338957175769113,0.8627024119499627,0.8423961185822085,0.9046433533117163,0.9020911062424655,0.8636693658687432,0.8466434170725273,0.8186895186837037
Fourier,1.005876111188459,0.97658743772459,0.8872161351308133,0.8178100008365425,0.9512787195833673,0.8801259901678804,1.0397364270030958,1.0802145562232295,1.1108576870153901,1.0292168119211302,0.7822579763086541,1.0082943020186377,0.9330621032703341,0.8776305174560738,0.9754587018775075,0.7618266074474127,0.9936941079150979,0.9230328434340845,0.779435295915607,0.8443709275152993,1.179433789994467,1.1595337988237386,1.2917307900807282,0.9168628349424603,0.8994212695779307,0.9768373548944036,0.9278201665292038,0.9551153140646048,0.9345145979337073,1.0805892285535499,0.8958789820461924,0.8827433451163293
Optimal,0.8788221516341674,0.6311027505299311,0.7336568107654333,0.6201507468834452,0.7945193113808664,0.710178362413574,0.8435017702890228,0.7842621733655568,0.8199687811552674,0.8246456901078697,0.5603625345206582,0.7848604121429393,0.7502184822584775,0.6529894510156652,0.8113848830360906,0.5605029598767498,0.6868594263850494,0.8002145914694185,0.6193527374589678,0.6706809745090292,0.8591948046396626,0.7444683178841609,0.8755490400511379,0.7611578746084152,0.7566910352793406,0.798508476881972,0.7715328521948018,0.8742886957440558,0.8216047768036177,0.8278342113467276,0.7967966850903587,0.7744410041852721
