,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-qsort1:cdataset-qsort-0005:,cbench-automotive-qsort1:cdataset-qsort-0009:,cbench-automotive-qsort1:cdataset-qsort-0013:,cbench-automotive-qsort1:cdataset-qsort-0017:,cbench-automotive-qsort1:cdataset-qsort-0020:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0005:corners,cbench-automotive-susan:image-pgm-0009:corners,cbench-automotive-susan:image-pgm-0013:corners,cbench-automotive-susan:image-pgm-0017:corners,cbench-automotive-susan:image-pgm-0020:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0005:edges,cbench-automotive-susan:image-pgm-0009:edges,cbench-automotive-susan:image-pgm-0013:edges,cbench-automotive-susan:image-pgm-0017:edges,cbench-automotive-susan:image-pgm-0020:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-automotive-susan:image-pgm-0005:smoothing,cbench-automotive-susan:image-pgm-0009:smoothing,cbench-automotive-susan:image-pgm-0013:smoothing,cbench-automotive-susan:image-pgm-0017:smoothing,cbench-automotive-susan:image-pgm-0020:smoothing,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-dijkstra:cdataset-dijkstra-0005:,cbench-network-dijkstra:cdataset-dijkstra-0009:,cbench-network-dijkstra:cdataset-dijkstra-0013:,cbench-network-patricia:cdataset-patricia-0001:,cbench-network-patricia:cdataset-patricia-0005:,cbench-network-patricia:cdataset-patricia-0009:,cbench-network-patricia:cdataset-patricia-0013:,cbench-network-patricia:cdataset-patricia-0017:,cbench-network-patricia:cdataset-patricia-0020:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-c:pcm-0005:,cbench-telecom-adpcm-c:pcm-0009:,cbench-telecom-adpcm-c:pcm-0013:,cbench-telecom-adpcm-c:pcm-0017:,cbench-telecom-adpcm-c:pcm-0020:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-adpcm-d:adpcm-0005:,cbench-telecom-adpcm-d:adpcm-0009:,cbench-telecom-adpcm-d:adpcm-0013:,cbench-telecom-adpcm-d:adpcm-0017:,cbench-telecom-adpcm-d:adpcm-0020:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-crc32:pcm-0005:,cbench-telecom-crc32:pcm-0009:,cbench-telecom-crc32:pcm-0013:,cbench-telecom-crc32:pcm-0017:,cbench-telecom-crc32:pcm-0020:,cbench-telecom-gsm:au-0001:,cbench-telecom-gsm:au-0005:,cbench-telecom-gsm:au-0009:,cbench-telecom-gsm:au-0013:,cbench-telecom-gsm:au-0017:,cbench-telecom-gsm:au-0020:
Default,0.06728909999999999,0.01960083653846154,0.012266774390243903,0.017571508928571428,0.014627544776119404,0.01414931690140845,0.0222217,0.006438031007751938,0.014083376811594203,0.0286881,0.002026952716297787,0.006518665562913907,0.009902920792079207,0.016636016666666666,0.03018478,0.08781058333333333,0.009059986363636363,0.019415326923076924,0.028468375000000004,0.08429533333333333,0.22407510000000003,0.4331056666666667,0.016292290322580644,0.07177557142857144,0.11911694444444443,8.080911972902783e-07,0.012129963855421685,0.12935475000000002,0.56422725,6.568473524362868e-05,0.0003052576,0.0013981550764951322,0.006743068493150685,0.03489374,0.12654712499999998,0.0006596658970976253,0.005961861445783133,0.000749726280120482,0.00484116,0.004994121827411168,0.007740124031007752,0.00044916419999999996,0.003598488,0.0005140687789799073,0.003336894,0.003344904,0.005147330729166667,0.001064291489361702,0.008509771551724138,0.0012177161997563948,0.007862464566929133,0.007891413385826771,0.012103189024390244,0.01148864367816092,0.09260677272727272,0.013100592105263157,0.08074296153846153,0.08642475,0.1279936875
Train,0.0549458666666666,0.01898044,0.0117659876543209,0.0169613508771929,0.0141872173913043,0.0136288591549295,0.0214299333333333,0.0063316825396825,0.0138744626865671,0.02829384,0.0020129678714859,0.0064856026490066,0.00983451,0.01586835,0.0287812,0.0836333333333333,0.0084928909090909,0.018305923076923,0.0270179166666666,0.07813925,0.2077465999999999,0.4029673333333333,0.0149715,0.0667175,0.1105221111111111,8.255322390596541e-07,0.0125586829268292,0.133559,0.5821405,6.094849091966652e-05,0.0002901768,0.0013493886583679,0.0066044797297297,0.0341838,0.123353875,0.0006416153337739,0.0052349520958083,0.0007351466165413,0.00472932,0.004840233502538,0.0072978346456692,0.0004419652,0.003539032,0.0005056615067079,0.00327586,0.003291296,0.0050599119170984,0.000606582710779,0.00487047008547,0.000696544457978,0.0045066825396825,0.0045204682539682,0.00695,0.0093680114942528,0.0752384545454545,0.0106196753246753,0.0660090769230769,0.06999,0.105041625
Fourier,0.06354906666666667,0.01936166346153846,0.011974268292682926,0.0171835625,0.014619738805970148,0.013983795774647888,0.022201055555555557,0.006595833333333334,0.014051934782608697,0.02882278,0.00204116800804829,0.006789466887417219,0.010249960396039603,0.016103541666666665,0.02965794,0.08439212500000001,0.00856799090909091,0.01852994230769231,0.02738447222222222,0.089768625,0.2325739,0.43625083333333337,0.01718575,0.07580996428571429,0.11871472222222224,8.880810941213805e-07,0.012450409638554219,0.133352625,0.5785042499999999,6.419292222368942e-05,0.00029519059999999996,0.0014259193324061197,0.006651280821917809,0.03493936,0.125823,0.000649259234828496,0.005292825301204819,0.0007515079066265061,0.004934786,0.004894951776649746,0.007577697674418605,0.0004483702,0.0035448520000000002,0.0005057081401339515,0.0032860959999999996,0.003295924,0.005069958333333333,0.0006194537234042553,0.005016288793103448,0.0007085316686967114,0.004573043307086614,0.00462155905511811,0.007154615853658537,0.009212155172413793,0.07507813636363636,0.010654230263157895,0.06503753846153845,0.06850916666666668,0.10505168749999999
