,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-qsort1:cdataset-qsort-0005:,cbench-automotive-qsort1:cdataset-qsort-0009:,cbench-automotive-qsort1:cdataset-qsort-0013:,cbench-automotive-qsort1:cdataset-qsort-0017:,cbench-automotive-qsort1:cdataset-qsort-0020:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0005:corners,cbench-automotive-susan:image-pgm-0009:corners,cbench-automotive-susan:image-pgm-0013:corners,cbench-automotive-susan:image-pgm-0017:corners,cbench-automotive-susan:image-pgm-0020:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0005:edges,cbench-automotive-susan:image-pgm-0009:edges,cbench-automotive-susan:image-pgm-0013:edges,cbench-automotive-susan:image-pgm-0017:edges,cbench-automotive-susan:image-pgm-0020:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-automotive-susan:image-pgm-0005:smoothing,cbench-automotive-susan:image-pgm-0009:smoothing,cbench-automotive-susan:image-pgm-0013:smoothing,cbench-automotive-susan:image-pgm-0017:smoothing,cbench-automotive-susan:image-pgm-0020:smoothing,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-dijkstra:cdataset-dijkstra-0005:,cbench-network-dijkstra:cdataset-dijkstra-0009:,cbench-network-dijkstra:cdataset-dijkstra-0013:,cbench-network-patricia:cdataset-patricia-0001:,cbench-network-patricia:cdataset-patricia-0005:,cbench-network-patricia:cdataset-patricia-0009:,cbench-network-patricia:cdataset-patricia-0013:,cbench-network-patricia:cdataset-patricia-0017:,cbench-network-patricia:cdataset-patricia-0020:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-c:pcm-0005:,cbench-telecom-adpcm-c:pcm-0009:,cbench-telecom-adpcm-c:pcm-0013:,cbench-telecom-adpcm-c:pcm-0017:,cbench-telecom-adpcm-c:pcm-0020:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-adpcm-d:adpcm-0005:,cbench-telecom-adpcm-d:adpcm-0009:,cbench-telecom-adpcm-d:adpcm-0013:,cbench-telecom-adpcm-d:adpcm-0017:,cbench-telecom-adpcm-d:adpcm-0020:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-crc32:pcm-0005:,cbench-telecom-crc32:pcm-0009:,cbench-telecom-crc32:pcm-0013:,cbench-telecom-crc32:pcm-0017:,cbench-telecom-crc32:pcm-0020:,cbench-telecom-gsm:au-0001:,cbench-telecom-gsm:au-0005:,cbench-telecom-gsm:au-0009:,cbench-telecom-gsm:au-0013:,cbench-telecom-gsm:au-0017:,cbench-telecom-gsm:au-0020:
Default,0.067221,0.01952619607843137,0.012255222222222223,0.017562553571428573,0.014719625,0.01414315,0.02224918888888889,0.006421019531250001,0.01412905072463768,0.02860658,0.002026318181818182,0.0065242649006622515,0.009904138613861385,0.016651641666666668,0.03021548,0.08769870833333332,0.009062154545454545,0.019392278846153847,0.028470416666666665,0.08430870833333334,0.2237187,0.43370200000000003,0.016198483606557377,0.07205410714285715,0.11907088888888889,8.091623096047688e-07,0.012118189024390245,0.12932675,0.56414575,6.568916694106025e-05,0.00030486360000000004,0.0013953741159830268,0.006757554054054054,0.03588472,0.12631825000000002,0.0006591518151815182,0.00595838622754491,0.0007497233483483483,0.004841006,0.004997951776649747,0.007742736434108527,0.0004491216,0.003603588,0.0005138439440993789,0.003334228,0.0033445159999999996,0.005149986979166667,0.0010646567164179104,0.008509097457627119,0.0012171634146341463,0.007853555555555555,0.007894738095238097,0.012115825301204818,0.011575689655172413,0.09261954545454545,0.013125236842105262,0.0804095,0.086420625,0.128295125
Train,0.0547396666666666,0.01890366,0.0116944938271604,0.0169205789473684,0.0142223623188405,0.0136279577464788,0.0213289555555555,0.006364,0.0139522835820895,0.028252,0.0020138092369477,0.0064828874172185,0.00986507,0.01579435,0.02869692,0.08350275,0.0084305181818181,0.0182078653846153,0.0269225,0.0779378333333333,0.2061366,0.4035386666666666,0.0150063387096774,0.0662601428571428,0.1099443333333333,8.392029102363825e-07,0.0124988780487804,0.133823,0.580965,6.117074904672655e-05,0.0002899316,0.0013530373443983,0.0066101891891891,0.03418044,0.123846125,0.0006437785855915,0.0052366467065868,0.0007368368421052,0.004729572,0.0048359035532994,0.007296779527559,0.0004412908,0.003540592,0.0005054045407636,0.003275668,0.00328904,0.0050590310880829,0.0006094717182497,0.0048564871794871,0.0006942119366626,0.0045096746031746,0.0045294761904761,0.0069616341463414,0.0091893908045977,0.0739384545454545,0.0104785714285714,0.0654043846153846,0.06869575,0.10388425
Fourier,0.056584833333333334,0.019277362745098038,0.012155253086419755,0.01765820535714286,0.014514558823529412,0.013890357142857142,0.021918222222222224,0.0064818203125,0.014197862318840581,0.028852419999999997,0.002057043434343434,0.0066605,0.010237569306930695,0.015816366666666665,0.02895594,0.08557758333333335,0.008466068181818182,0.018471884615384616,0.027090500000000003,0.08985420833333332,0.2235078,0.44792783333333336,0.01669315573770492,0.072797,0.12422933333333334,9.134696421104495e-07,0.013579012195121951,0.14441475,0.5957445,6.52837668752058e-05,0.00030228060000000003,0.0013829865629420084,0.006808702702702701,0.034954559999999996,0.1268638125,0.0006611323432343234,0.005314979041916168,0.0007567687687687688,0.004810004,0.004900753807106599,0.007514790697674419,0.000442364,0.003544766,0.0005066570910973085,0.003280984,0.0032968,0.0050677734375,0.0006278592750533048,0.004947343220338983,0.0007075835365853658,0.004648103174603175,0.004666194444444444,0.007102915662650602,0.00935866091954023,0.07682304545454546,0.011031638157894737,0.06619257692307692,0.06974754166666666,0.10728537499999999
