,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0015279261840466,0.9247868821629852,0.9598084074817915,0.8866583957604237,0.9256530024299734,0.9281523345593959,0.9984287479580171,0.9732602059889862,0.9809016021056438,0.9845229268401751,0.8453106855282765,0.9782430268288236,0.9817206499997283,0.882890680033353,0.9524712397946887,0.8299625193886399,0.945457533439485,0.9057567357703681,0.8896205461400761,0.888815946756384,0.9318335472400081,0.9491908962214767,1.0112298788989664,0.9520187492837356,0.8887178656500164,0.9288465581102554,0.9293733806355043,0.982515465075466,1.003994166492804,0.964704311164879,0.9010218134045893,0.9120588380664408
Fourier,0.8791873909093015,0.6688689492765592,0.7547309043670011,0.6275163677198112,0.8063262885247531,0.7526706171889862,0.8542883924872119,0.8463470379416982,0.8437719330584613,0.8335281229279237,0.5932691373343237,0.8085487744505215,0.7683871416500605,0.6581026208631361,0.8239837447026058,0.5749339161407386,0.6893917401621522,0.8120837629323112,0.6517533157014602,0.6915127592831716,0.8779222635401281,0.7628695475885104,0.8878693324537458,0.7611578746084152,0.7587658029249649,0.9024681824323271,0.8243575385473754,0.8882285124813218,0.8638625171838663,0.8370346287645828,0.8097944643915291,0.7905076553209968
Optimal,0.8788221516341674,0.6311027505299311,0.7336568107654333,0.6201507468834452,0.7945193113808664,0.710178362413574,0.8435017702890228,0.7842621733655568,0.8199687811552674,0.8246456901078697,0.5603625345206582,0.7848604121429393,0.7502184822584775,0.6529894510156652,0.8113848830360906,0.5605029598767498,0.6868594263850494,0.8002145914694185,0.6193527374589678,0.6706809745090292,0.8591948046396626,0.7444683178841609,0.8755490400511379,0.7611578746084152,0.7566910352793406,0.798508476881972,0.7715328521948018,0.8742886957440558,0.8216047768036177,0.8278342113467276,0.7967966850903587,0.7744410041852721
