,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.969200364416237,0.935861658878406,0.9196654761320114,0.9387585282827149,0.9341172557720758,0.9483043253934252,0.9053366967256503,0.9748791701811756,0.9033348146949096,0.9252765532772813,0.8979620870527327,0.9793621553684917,0.9613218518236175,0.9206830714158807,0.9406508356858982,0.8800201468397443,1.0135625460026827,0.8753752965922021,0.8988960155357917,0.931198694572475,0.8481689069151801,0.9671675441610258,0.9589768149819106,0.9418098982711384,0.8892279830380524,0.896243140869316,0.9838262171234883,0.9706781401328269,0.95360589323309,0.8575000880469051,0.8785426209253333,0.8984009627144356
Fourier,0.9054289464166179,0.7871320112060932,0.7612029959354687,0.80466118545051,0.8218742685172771,0.8854520662672224,0.7693837180301615,0.9320455739655803,0.8687681182205552,0.7924558249960596,0.8372095952985641,0.8482064148062713,0.9359313922008524,0.987781312867746,0.8928835783069996,0.7342105966439623,1.0073762573749707,0.7860014684565497,0.9050608643491448,0.8591275032960217,0.9215046894562533,0.9238801797659275,0.8974535293703316,0.8775350241768411,0.7250334588077125,0.7744653686113373,0.9436807470873175,0.9250769995913197,0.8956825568982327,0.7387412644002993,0.829742774392746,0.7624499486007763
Optimal,0.8410149766817251,0.7073014484825331,0.6298409911409771,0.7748774238771583,0.7499637461446708,0.7397380619123252,0.7509492887992522,0.8978426496228034,0.8075867304375806,0.7160021235131016,0.7934012020782362,0.8119426244122013,0.8984832933123466,0.8146235063373266,0.8233485668206411,0.6573910877475024,0.9173653665026724,0.6997696478860903,0.8012622658412545,0.8044145482827307,0.6933932465368389,0.8364710941293059,0.8564050172061671,0.8598328718993443,0.6523114501743434,0.7252337363905292,0.8853421056480021,0.8502574495681494,0.8460411387328135,0.6920366070619987,0.7859488050189514,0.7249692673865509
