,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9344416673878418,0.8868457257439686,0.9777837906666182,0.9707889572126414,0.9639364033732709,0.9613619846147514,0.9423889911412736,0.9442398568799745,0.9621978802151089,0.9190048260212622,0.909659850873819,0.9348170867868221,0.9539814458753049,0.9174232209778469,0.9410592903602479,0.9388122174894917,0.9050231490962536,0.8944798650914164,0.925853192281468,0.9537248054005697,0.9199664495462732,0.9287259006862721,0.890915518670883,0.9765639198432232,0.88038638183754,0.9164531516408048,0.9582275295248573,0.9539647277185983,0.9806360383855138,0.9065113826836183,0.8914922758142162,0.8857111359162914
Fourier,0.937229721390578,0.8351113846821538,0.9266705905664939,0.9374858515495854,0.9473474901629103,0.9178705717284035,0.935487821125621,0.8962243525630663,0.9487775609888922,0.841996640797351,0.8824465967067501,0.9026400293645919,0.9377370342960463,0.8384430608379109,0.8882529853657686,0.9302226210222254,0.974050602942535,0.7980802152768273,0.9186236359043586,0.9341840989295737,0.9223038054660089,0.9702037870035141,0.8238672891299469,0.9178858269482062,0.8452084007262681,0.8865596075512185,0.9411657281460903,0.9058789545160132,0.9438713457838586,0.9248846968401733,0.8206820463947244,0.8806706989424069
Optimal,0.9256162286448577,0.8351113846821538,0.9225205530583499,0.9374858515495854,0.9419088412103714,0.9165682955999932,0.9287711356528368,0.8962243525630663,0.9468430462009622,0.81432518581366,0.8824465967067501,0.8777449708633861,0.9302848785528574,0.8340043192680971,0.8814750739794902,0.926105731512213,0.8715103953431614,0.7980802152768273,0.9077446093921262,0.9226214072814838,0.9103266144552434,0.8757568679742495,0.8238672891299469,0.9178858269482062,0.8452084007262681,0.8690497715907353,0.9262017242478098,0.9058789545160132,0.9406099442744592,0.9167188080361147,0.8204273357228851,0.8777335885466138
