,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9344416673878418,0.9281668287217312,1.0003222376149716,0.9707889572126414,0.9639364033732709,0.9613619846147514,0.9423889911412736,0.9442398568799745,0.9621978802151089,0.926332355586332,0.9215189369622989,0.9348170867868221,0.9539814458753049,0.9306558664446504,0.9560135355448556,0.9388122174894917,0.9050231490962536,0.8944798650914164,0.9269067751600565,0.9537248054005697,0.9199664495462732,0.9678833044797771,0.890915518670883,0.9813955950319805,0.88038638183754,0.9216830089586114,0.9582275295248573,0.9539647277185983,0.9806360383855138,0.9065113826836183,0.8914922758142162,0.8857111359162914
Fourier,0.9772849672033849,0.844758377710717,0.9441162845389834,0.9887476070929144,0.9620148998007709,0.9172745278741297,0.947207704492222,0.9137441994864194,0.9893629404583919,0.8970503236367385,0.8868813309478215,0.9290684509445138,0.9446304245808144,0.8384430608379109,0.886373943564803,0.9302226210222254,0.8786909545599301,0.7980802152768273,1.0013117435465066,0.9441558767270615,0.9990656106862416,1.0244999473382856,0.8370925464732134,0.9770387892536608,1.0518275669493815,0.9055952698976529,0.941710371055281,0.9323381858940483,0.9663890339941412,0.920234784639388,0.8206820463947244,0.9193699846980057
Optimal,0.9256162286448577,0.8351113846821538,0.9225205530583499,0.9374858515495854,0.9419088412103714,0.9165682955999932,0.9287711356528368,0.8962243525630663,0.9468430462009622,0.81432518581366,0.8824465967067501,0.8777449708633861,0.9302848785528574,0.8340043192680971,0.8814750739794902,0.926105731512213,0.8715103953431614,0.7980802152768273,0.9077446093921262,0.9226214072814838,0.9103266144552434,0.8757568679742495,0.8238672891299469,0.9178858269482062,0.8452084007262681,0.8690497715907353,0.9262017242478098,0.9058789545160132,0.9406099442744592,0.9167188080361147,0.8204273357228851,0.8777335885466138
