,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0329499818383916,0.884774584243368,0.9611037024491403,0.9561370732427883,0.9604484046434519,0.9951738341501578,0.9919009034331441,0.9896379415887662,0.9640477376026035,0.9530457401127488,0.9371080395272833,1.0171134954680427,0.9820564168964364,0.9398621093848916,0.9191662383229172,0.9309601505298916,1.0091855937331342,0.9499786792423459,0.8829055228653714,0.9364998559673644,0.9673815376421485,1.0113271510813924,0.9754660669596877,0.9766675874730514,0.8789468882785259,0.9333236843072075,0.9666874106883948,0.9223292335130137,1.0163862071385554,0.9164752633769275,0.9284806305102355,0.9309627333703266
Fourier,0.9971849357749664,0.8306178058781419,0.9084508153298309,0.9872238427832033,0.9413125225055511,0.9353376488179163,0.8944832178552313,1.0149353184527279,0.9600913232911207,1.0089224117199729,0.9915001015404469,1.011052019605523,0.9785967695334884,0.9222459260757548,0.8812238397201945,1.0644528658329415,1.028766961389401,1.0015380254900534,0.9300352232764416,0.9584168172536741,0.9608551530444994,1.057097051805276,0.9680156231008684,0.8813007668031798,0.8111570496733366,0.8601541437358465,0.9501668116167931,0.9185587589576721,1.0349539139270034,0.8345724162882701,0.9351278392802002,0.8939474864840544
Optimal,0.9367436351836026,0.6862610610857955,0.8011247151621642,0.7788173970992882,0.7566373256865173,0.8697095072866077,0.8048734044248715,0.8224864257918073,0.7483424646431729,0.7957890266536708,0.7605250120190014,0.8822922875803,0.8260884425682024,0.8141385824185986,0.7593036330299959,0.8043940982765069,0.89469440988566,0.7814215781472401,0.7657781927893871,0.816345785888817,0.8629123056665877,0.9224426076554981,0.8593191905640997,0.761057530055367,0.5971641558266836,0.8030689272438905,0.8709224240312918,0.7691703910823444,0.8249453559345735,0.7655762739607123,0.76791555591939,0.7721405760787439
