,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9437787218163979,0.985836749154795,0.9239917107381449,0.9951032321039488,0.9235778064799343,0.9507400810416724,0.9498477013044112,0.9473043447204592,0.9317344198697262,0.9056768607920405,0.980041892358949,0.9678352205524845,1.023656317535166,0.9324421030319751,0.890307653088161,0.9409024674180295
Fourier,0.869224325734515,0.9022828098873091,0.8115666012922119,0.9135340315554664,0.802050498111444,0.9234818164618462,0.8796069475964636,0.8735659686411715,0.852936474100385,0.8191764216297366,0.9216479202336764,0.9078723189195025,0.9579756808190096,0.8665696550002528,0.7220262617407919,0.7828824706391572
Optimal,0.8608276291381941,0.7974028435409788,0.7380493910354767,0.8385201845612307,0.7762556677430206,0.7772477152934149,0.827340216945025,0.7952770597990279,0.7125796304719023,0.7802833512130177,0.8511161604384281,0.7951994088280836,0.8616705359549097,0.8088982616406953,0.6965517904331926,0.7448742025454663
