,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9605321833541087,0.989116304775998,0.9527247550594773,0.9646464368065916,0.8952892402648993,0.9235386416921805,0.9546983579915717,0.9189896206948639,0.9091717052449327,0.907959789850973,0.9803453873931729,0.9712765823153229,0.9706278229229104,0.8947575251633628,0.9385376275840616,0.9266530830583521
Fourier,0.7952434678836968,0.9170528485404823,0.8260041293177076,0.7275566070730525,0.8180965065924437,0.8651925100763402,0.875374288356516,0.7466700177052324,0.8120438810337323,0.7878216692962844,0.8386260824483973,0.872786933641244,0.887547943608439,0.7699050422601542,0.8455340852661349,0.7495257260409036
Optimal,0.7509492887992522,0.8978426496228034,0.8075867304375806,0.7160021235131016,0.7934012020782362,0.8146235063373266,0.8233485668206411,0.6997696478860903,0.8012622658412545,0.6933932465368389,0.8364710941293059,0.8564050172061671,0.8460411387328135,0.6920366070619987,0.7859488050189514,0.7249692673865509
