,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0255599655402685,0.9953731557041849,0.9366919351415406,0.9297488669854326,0.9512883299709816,0.9490817735129952,0.9366049467120322,0.9840240238114674,0.9198807254943395,0.9678689152329376,1.0059180413371969,0.9463382012455958,1.0177381992499266,0.9535084079109812,0.9537156123162447,0.9296212512841179
Fourier,0.9578936228809093,0.9392488966403839,0.8535020690494102,0.8310870209031057,0.9416762020285102,0.9422976105196288,0.8985439065805157,0.9185924912728878,0.8354378662730687,0.9550233562590824,0.9584657822915527,0.949727901701771,0.9358400944477596,0.8539240077585283,0.8942409006034457,0.8821092224334337
Optimal,0.8580536558330072,0.7902770326878072,0.6896493653713105,0.6890017746086156,0.6863474160859426,0.7543612454284131,0.7152931486406084,0.8650365369976514,0.6906026191024252,0.7855351035712412,0.8322631201069896,0.7922109860757196,0.8618008083254275,0.8209567917367118,0.8037965005256473,0.6898844076143803
