Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.93985630944371 s
Iteration 1: 38.05080857221037 s
Iteration 2: 38.224983064457774 s
Iteration 3: 38.74622429255396 s
Iteration 4: 38.864867649041116 s
Iteration 5: 39.258491069078445 s
Iteration 6: 41.87067187670618 s
Iteration 7: 40.04453632235527 s
Iteration 8: 40.54721251409501 s
Iteration 9: 42.89037478901446 s
Iteration 10: 43.07505535893142 s
Iteration 11: 41.11374583374709 s
Iteration 12: 43.88152966089547 s
Iteration 13: 44.26796296145767 s
Iteration 14: 42.29587056580931 s
Iteration 15: 42.71238376852125 s
Iteration 16: 42.89599655382335 s
Iteration 17: 43.40438765659928 s
Iteration 18: 44.16828822810203 s
Iteration 19: 44.13105212710798 s
Iteration 20: 44.15737354569137 s
Iteration 21: 44.753491149283946 s
Iteration 22: 44.961158065125346 s
Iteration 23: 45.24447475280613 s
Iteration 24: 45.83339103870094 s
Iteration 25: 46.179380889981985 s
Iteration 26: 46.25994203239679 s
Iteration 27: 46.80802833288908 s
Iteration 28: 46.8151550386101 s
Iteration 29: 47.10499311052263 s
Iteration 30: 47.908031893894076 s
Iteration 31: 47.83710604533553 s
Iteration 32: 48.21839893888682 s
Iteration 33: 48.55218786466867 s
Iteration 34: 49.360896539874375 s
Iteration 35: 49.12816034629941 s
Iteration 36: 49.55220924131572 s
Iteration 37: 50.21992241498083 s
Iteration 38: 50.387005160562694 s
Iteration 39: 51.07579448260367 s
Iteration 40: 50.88423240557313 s
Iteration 41: 51.80513179022819 s
Iteration 42: 51.61103808321059 s
Iteration 43: 51.96915139723569 s
Iteration 44: 52.3176712077111 s
Iteration 45: 52.717686630785465 s
Iteration 46: 52.86130837071687 s
Iteration 47: 52.96569206845015 s
Iteration 48: 53.5019291928038 s
Iteration 49: 53.709921597503126 s
Iteration 50: 54.38646604027599 s
Iteration 51: 54.53990605100989 s
Iteration 52: 55.29420370142907 s
Iteration 53: 55.40164763573557 s
Iteration 54: 55.68431705702096 s
Iteration 55: 55.86087179463357 s
Iteration 56: 56.450117982923985 s
Iteration 57: 56.66205510124564 s
Iteration 58: 57.50195254199207 s
Iteration 59: 57.147836646065116 s
