Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.517590614035726 s
Iteration 1: 42.2978510921821 s
Iteration 2: 42.58390499278903 s
Iteration 3: 42.01830134075135 s
Iteration 4: 43.06719169113785 s
Iteration 5: 42.97791042830795 s
Iteration 6: 43.39239166863263 s
Iteration 7: 45.8021389124915 s
Iteration 8: 43.97110909409821 s
Iteration 9: 44.49098823685199 s
Iteration 10: 44.54296856652945 s
Iteration 11: 45.1038704989478 s
Iteration 12: 45.48294062167406 s
Iteration 13: 46.032104880549014 s
Iteration 14: 45.74508731625974 s
Iteration 15: 47.25432005804032 s
Iteration 16: 46.715006578713655 s
Iteration 17: 46.982279050163925 s
Iteration 18: 47.65722748078406 s
Iteration 19: 47.59172880090773 s
Iteration 20: 47.4279195452109 s
Iteration 21: 48.491958257742226 s
Iteration 22: 48.63739169854671 s
Iteration 23: 49.34104920178652 s
Iteration 24: 49.20996486954391 s
Iteration 25: 50.18516953382641 s
Iteration 26: 50.15323933213949 s
Iteration 27: 50.19947403576225 s
Iteration 28: 50.63088141288608 s
Iteration 29: 50.67271262407303 s
Iteration 30: 51.16751949861646 s
Iteration 31: 51.382072281092405 s
Iteration 32: 52.23071149550378 s
Iteration 33: 52.62422659434378 s
Iteration 34: 53.403655604459345 s
Iteration 35: 53.101006243377924 s
Iteration 36: 55.27649526577443 s
Iteration 37: 53.14794254023582 s
Iteration 38: 53.946703779511154 s
Iteration 39: 54.25202949065715 s
Iteration 40: 54.77756056189537 s
Iteration 41: 54.91113692522049 s
Iteration 42: 55.40696264896542 s
Iteration 43: 55.44363097008318 s
Iteration 44: 55.59358349442482 s
Iteration 45: 56.030805743299425 s
Iteration 46: 56.728607434779406 s
Iteration 47: 57.070621671155095 s
Iteration 48: 56.82443552277982 s
Iteration 49: 58.88166659884155 s
Iteration 50: 57.73633737117052 s
Iteration 51: 58.06862211506814 s
Iteration 52: 58.42026302590966 s
Iteration 53: 59.25106129422784 s
Iteration 54: 59.569063366390765 s
Iteration 55: 59.25454369839281 s
Iteration 56: 60.09055604506284 s
Iteration 57: 59.667302219197154 s
Iteration 58: 61.19773974083364 s
Iteration 59: 60.92003342881799 s
