Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.94321854505688 s
Iteration 1: 41.59060720726848 s
Iteration 2: 41.685944150201976 s
Iteration 3: 41.77857726532966 s
Iteration 4: 42.28682807087898 s
Iteration 5: 42.419911430217326 s
Iteration 6: 42.91694915201515 s
Iteration 7: 43.24016186594963 s
Iteration 8: 43.439826590009034 s
Iteration 9: 43.7907316442579 s
Iteration 10: 44.05747527163476 s
Iteration 11: 44.57051863335073 s
Iteration 12: 44.9269886566326 s
Iteration 13: 45.297914043068886 s
Iteration 14: 45.46815338451415 s
Iteration 15: 45.56888728495687 s
Iteration 16: 46.04893830046058 s
Iteration 17: 46.05930533166975 s
Iteration 18: 46.730578595772386 s
Iteration 19: 47.496196903288364 s
Iteration 20: 47.34815976768732 s
Iteration 21: 47.57254393491894 s
Iteration 22: 48.2294720672071 s
Iteration 23: 48.20642386842519 s
Iteration 24: 48.77471682615578 s
Iteration 25: 48.80309645459056 s
Iteration 26: 49.285890171304345 s
Iteration 27: 50.00330362189561 s
Iteration 28: 50.04173366818577 s
Iteration 29: 50.51798117533326 s
Iteration 30: 50.75948547385633 s
Iteration 31: 50.98677324037999 s
Iteration 32: 51.433451974764466 s
Iteration 33: 51.90654345601797 s
Iteration 34: 51.833695869892836 s
Iteration 35: 52.347810494713485 s
Iteration 36: 52.844382462091744 s
Iteration 37: 52.8644819483161 s
Iteration 38: 53.37745828181505 s
Iteration 39: 53.581361912190914 s
Iteration 40: 54.020160837098956 s
Iteration 41: 54.47637822199613 s
Iteration 42: 55.23768949974328 s
Iteration 43: 55.4831820204854 s
Iteration 44: 55.43908021133393 s
Iteration 45: 55.67095282115042 s
Iteration 46: 55.91625199280679 s
Iteration 47: 56.335897848941386 s
Iteration 48: 57.601537792012095 s
Iteration 49: 57.46938725654036 s
Iteration 50: 57.13058720715344 s
Iteration 51: 57.85526483412832 s
Iteration 52: 58.10114951711148 s
Iteration 53: 58.142197942361236 s
Iteration 54: 58.48971245996654 s
Iteration 55: 58.922432734631 s
Iteration 56: 59.330915871076286 s
Iteration 57: 59.89774405863136 s
Iteration 58: 59.987577953375876 s
Iteration 59: 60.221331434324384 s
