Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 33.218275828287005 s
Iteration 1: 42.228495554067194 s
Iteration 2: 42.36397247295827 s
Iteration 3: 42.65312015730888 s
Iteration 4: 43.50640723016113 s
Iteration 5: 43.177725130692124 s
Iteration 6: 43.89067748002708 s
Iteration 7: 44.40034644398838 s
Iteration 8: 44.18328235577792 s
Iteration 9: 44.335270054638386 s
Iteration 10: 44.76633215788752 s
Iteration 11: 44.91734686307609 s
Iteration 12: 45.252582089044154 s
Iteration 13: 45.62652711290866 s
Iteration 14: 46.043827667832375 s
Iteration 15: 46.47200243547559 s
Iteration 16: 47.00229284539819 s
Iteration 17: 47.067030997015536 s
Iteration 18: 47.334600624628365 s
Iteration 19: 47.854556194506586 s
Iteration 20: 47.86809831019491 s
Iteration 21: 48.747410075739026 s
Iteration 22: 48.50275539420545 s
Iteration 23: 49.218108168803155 s
Iteration 24: 49.538259483873844 s
Iteration 25: 49.86064190976322 s
Iteration 26: 50.230417154729366 s
Iteration 27: 50.67403769586235 s
Iteration 28: 51.4241049150005 s
Iteration 29: 50.836193000897765 s
Iteration 30: 51.250449081882834 s
Iteration 31: 51.71674987021834 s
Iteration 32: 52.01662538386881 s
Iteration 33: 52.5382245760411 s
Iteration 34: 52.85793605167419 s
Iteration 35: 52.895549442619085 s
Iteration 36: 53.13634300697595 s
Iteration 37: 53.839237499050796 s
Iteration 38: 53.93560770153999 s
Iteration 39: 54.36314635723829 s
Iteration 40: 54.673595091328025 s
Iteration 41: 55.02479652967304 s
Iteration 42: 55.8360543390736 s
Iteration 43: 55.823259292170405 s
Iteration 44: 56.15239758323878 s
Iteration 45: 56.904406257905066 s
Iteration 46: 56.724817879498005 s
Iteration 47: 56.66803854517639 s
Iteration 48: 57.603781959973276 s
Iteration 49: 58.216622290201485 s
Iteration 50: 57.82031850051135 s
Iteration 51: 58.124942971393466 s
Iteration 52: 58.92012654617429 s
Iteration 53: 58.875029150396585 s
Iteration 54: 59.654751860536635 s
Iteration 55: 59.425109539180994 s
Iteration 56: 59.69732491672039 s
Iteration 57: 59.99239905923605 s
Iteration 58: 60.72722363099456 s
Iteration 59: 60.861029516905546 s
