Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.58554327301681 s
Iteration 1: 40.568497410044074 s
Iteration 2: 41.21379484515637 s
Iteration 3: 41.166029962711036 s
Iteration 4: 41.44583287090063 s
Iteration 5: 41.37515495624393 s
Iteration 6: 41.77375132869929 s
Iteration 7: 42.78465530090034 s
Iteration 8: 42.368356144055724 s
Iteration 9: 42.803479299880564 s
Iteration 10: 44.22861835360527 s
Iteration 11: 43.38834127783775 s
Iteration 12: 44.66100829001516 s
Iteration 13: 45.40772566758096 s
Iteration 14: 44.722910610958934 s
Iteration 15: 44.6677356492728 s
Iteration 16: 45.33755978662521 s
Iteration 17: 45.52670365665108 s
Iteration 18: 46.295874547213316 s
Iteration 19: 46.09388610813767 s
Iteration 20: 46.93384249228984 s
Iteration 21: 47.48386923316866 s
Iteration 22: 47.81917810998857 s
Iteration 23: 48.36526439618319 s
Iteration 24: 48.04370045848191 s
Iteration 25: 48.64803216326982 s
Iteration 26: 49.29135421384126 s
Iteration 27: 48.791028616949916 s
Iteration 28: 49.19411082006991 s
Iteration 29: 49.933887612074614 s
Iteration 30: 50.94504450634122 s
Iteration 31: 50.79104360472411 s
Iteration 32: 51.2853445019573 s
Iteration 33: 50.85963801294565 s
Iteration 34: 51.26642943639308 s
Iteration 35: 52.11255225259811 s
Iteration 36: 51.95897710416466 s
Iteration 37: 52.64625852741301 s
Iteration 38: 52.76060117315501 s
Iteration 39: 57.921314124017954 s
Iteration 40: 53.51720251142979 s
Iteration 41: 54.05275441799313 s
Iteration 42: 54.10759264230728 s
Iteration 43: 54.83078707009554 s
Iteration 44: 55.18637823779136 s
Iteration 45: 54.93889255914837 s
Iteration 46: 56.0627852473408 s
Iteration 47: 56.378865025006235 s
Iteration 48: 55.79535716306418 s
Iteration 49: 56.60381499119103 s
Iteration 50: 56.58249405119568 s
Iteration 51: 57.35831020679325 s
Iteration 52: 57.17811332922429 s
Iteration 53: 57.33719898574054 s
Iteration 54: 57.88186637032777 s
Iteration 55: 58.98984548635781 s
Iteration 56: 58.29930892307311 s
Iteration 57: 58.90183801110834 s
Iteration 58: 59.8470246149227 s
Iteration 59: 59.70432704221457 s
