Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.992620745673776 s
Iteration 1: 39.751858392730355 s
Iteration 2: 40.249637531116605 s
Iteration 3: 40.39181899745017 s
Iteration 4: 40.597959242761135 s
Iteration 5: 41.52686852402985 s
Iteration 6: 41.73085873108357 s
Iteration 7: 41.68895931635052 s
Iteration 8: 41.855597206391394 s
Iteration 9: 43.032678940333426 s
Iteration 10: 42.87620929442346 s
Iteration 11: 45.30222018901259 s
Iteration 12: 43.90710379462689 s
Iteration 13: 43.87245478853583 s
Iteration 14: 44.62228386010975 s
Iteration 15: 44.68865307234228 s
Iteration 16: 44.706574723124504 s
Iteration 17: 45.17487549316138 s
Iteration 18: 46.40137524250895 s
Iteration 19: 46.02860075607896 s
Iteration 20: 45.86906627099961 s
Iteration 21: 48.272044107317924 s
Iteration 22: 47.4073791494593 s
Iteration 23: 47.380499015562236 s
Iteration 24: 47.74907496292144 s
Iteration 25: 48.00159306079149 s
Iteration 26: 49.03299171384424 s
Iteration 27: 48.43531471397728 s
Iteration 28: 48.55792619101703 s
Iteration 29: 49.044755758717656 s
Iteration 30: 48.98339916858822 s
Iteration 31: 49.39291555993259 s
Iteration 32: 50.5738585004583 s
Iteration 33: 49.99975149985403 s
Iteration 34: 50.442532643675804 s
Iteration 35: 50.87185432575643 s
Iteration 36: 50.742697950452566 s
Iteration 37: 51.72151077911258 s
Iteration 38: 52.06904723960906 s
Iteration 39: 52.202798900194466 s
Iteration 40: 52.012540948577225 s
Iteration 41: 52.6207487154752 s
Iteration 42: 53.25866748765111 s
Iteration 43: 53.12495086248964 s
Iteration 44: 54.43435652554035 s
Iteration 45: 53.73143175523728 s
Iteration 46: 54.838623576797545 s
Iteration 47: 54.755957214161754 s
Iteration 48: 55.194565353915095 s
Iteration 49: 54.94711077027023 s
Iteration 50: 55.380982752889395 s
Iteration 51: 56.47909929882735 s
Iteration 52: 56.277842530049384 s
Iteration 53: 56.93811876792461 s
Iteration 54: 56.71900031901896 s
Iteration 55: 57.47665332257748 s
Iteration 56: 57.522367785684764 s
Iteration 57: 57.90272084157914 s
Iteration 58: 58.33618329651654 s
Iteration 59: 59.00868774019182 s
