Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.80650512780994 s
Iteration 1: 40.841193828731775 s
Iteration 2: 41.533576908521354 s
Iteration 3: 41.34828499983996 s
Iteration 4: 41.846441698260605 s
Iteration 5: 42.05342963151634 s
Iteration 6: 42.239168189466 s
Iteration 7: 42.67658721935004 s
Iteration 8: 43.108367374166846 s
Iteration 9: 43.87607473041862 s
Iteration 10: 44.24121997691691 s
Iteration 11: 44.32965261116624 s
Iteration 12: 45.39072133600712 s
Iteration 13: 45.25874433852732 s
Iteration 14: 45.24453161004931 s
Iteration 15: 45.470913547091186 s
Iteration 16: 45.32480365317315 s
Iteration 17: 45.784619624726474 s
Iteration 18: 46.198813767172396 s
Iteration 19: 46.512880047783256 s
Iteration 20: 46.680884623900056 s
Iteration 21: 47.503241654485464 s
Iteration 22: 47.35011263284832 s
Iteration 23: 48.060405964031816 s
Iteration 24: 48.54940463975072 s
Iteration 25: 49.18251773715019 s
Iteration 26: 49.263031447306275 s
Iteration 27: 49.570865739136934 s
Iteration 28: 49.024034042842686 s
Iteration 29: 49.89835676364601 s
Iteration 30: 49.925475778989494 s
Iteration 31: 50.21789316739887 s
Iteration 32: 50.27894967701286 s
Iteration 33: 51.51922582183033 s
Iteration 34: 51.29820554703474 s
Iteration 35: 51.587054261006415 s
Iteration 36: 52.67484781704843 s
Iteration 37: 52.289385315962136 s
Iteration 38: 52.4732291828841 s
Iteration 39: 53.76015599165112 s
Iteration 40: 53.4759685844183 s
Iteration 41: 54.13625636603683 s
Iteration 42: 55.07934488914907 s
Iteration 43: 53.935768626630306 s
Iteration 44: 54.8102505300194 s
Iteration 45: 55.26135323382914 s
Iteration 46: 55.768607929348946 s
Iteration 47: 56.00813944078982 s
Iteration 48: 56.21849250700325 s
Iteration 49: 56.42033954337239 s
Iteration 50: 56.756397888064384 s
Iteration 51: 57.02836827747524 s
Iteration 52: 57.417283119633794 s
Iteration 53: 58.18954992387444 s
Iteration 54: 57.79702990874648 s
Iteration 55: 58.670776286162436 s
Iteration 56: 58.52003365755081 s
Iteration 57: 59.62740991823375 s
Iteration 58: 59.28445225674659 s
Iteration 59: 59.52838302124292 s
