Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.948662960901856 s
Iteration 1: 41.034900047816336 s
Iteration 2: 41.205097765661776 s
Iteration 3: 41.74883239809424 s
Iteration 4: 42.01201948989183 s
Iteration 5: 42.70672125928104 s
Iteration 6: 42.81832943018526 s
Iteration 7: 43.23472071997821 s
Iteration 8: 43.69606564566493 s
Iteration 9: 44.36777939181775 s
Iteration 10: 44.02637258917093 s
Iteration 11: 44.8254211936146 s
Iteration 12: 44.783213707618415 s
Iteration 13: 45.178698373027146 s
Iteration 14: 46.11633116286248 s
Iteration 15: 45.79948090016842 s
Iteration 16: 46.32285229302943 s
Iteration 17: 46.50654280092567 s
Iteration 18: 46.696418858133256 s
Iteration 19: 47.43054240569472 s
Iteration 20: 47.70672744791955 s
Iteration 21: 47.793025818653405 s
Iteration 22: 48.75962314940989 s
Iteration 23: 48.38522679917514 s
Iteration 24: 50.145023150369525 s
Iteration 25: 49.41799951530993 s
Iteration 26: 49.58341161347926 s
Iteration 27: 49.861452207900584 s
Iteration 28: 50.2490052934736 s
Iteration 29: 50.69207113329321 s
Iteration 30: 50.58678174484521 s
Iteration 31: 51.12966556753963 s
Iteration 32: 51.27094517368823 s
Iteration 33: 51.602710391394794 s
Iteration 34: 52.102259958162904 s
Iteration 35: 52.813890621997416 s
Iteration 36: 52.6454552244395 s
Iteration 37: 52.83276251330972 s
Iteration 38: 53.37590036261827 s
Iteration 39: 53.8915937570855 s
Iteration 40: 53.89312288723886 s
Iteration 41: 54.48543226439506 s
Iteration 42: 54.54909394774586 s
Iteration 43: 55.33671431988478 s
Iteration 44: 55.76206077542156 s
Iteration 45: 55.52607128582895 s
Iteration 46: 56.22205188497901 s
Iteration 47: 56.079650569707155 s
Iteration 48: 56.90636263322085 s
Iteration 49: 58.156972553581 s
Iteration 50: 57.44443802256137 s
Iteration 51: 57.545357486233115 s
Iteration 52: 58.04317947104573 s
Iteration 53: 58.30087007954717 s
Iteration 54: 58.487132189795375 s
Iteration 55: 59.2483084294945 s
Iteration 56: 59.37605738360435 s
Iteration 57: 60.25812875293195 s
Iteration 58: 60.450320293195546 s
Iteration 59: 60.190682019107044 s
