Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.67825011443347 s
Iteration 1: 40.61479162145406 s
Iteration 2: 40.977252101525664 s
Iteration 3: 40.7491835989058 s
Iteration 4: 40.971987476572394 s
Iteration 5: 41.516971956938505 s
Iteration 6: 41.807263870723546 s
Iteration 7: 42.18122626375407 s
Iteration 8: 42.65684030763805 s
Iteration 9: 43.3051658468321 s
Iteration 10: 43.085914813913405 s
Iteration 11: 43.05859350319952 s
Iteration 12: 43.699499785900116 s
Iteration 13: 43.97816453129053 s
Iteration 14: 44.23406634759158 s
Iteration 15: 44.517500958405435 s
Iteration 16: 44.55970956105739 s
Iteration 17: 45.05824000760913 s
Iteration 18: 45.58194736856967 s
Iteration 19: 45.899256786331534 s
Iteration 20: 46.26022737938911 s
Iteration 21: 46.42660148534924 s
Iteration 22: 46.98983285296708 s
Iteration 23: 47.39196811337024 s
Iteration 24: 47.897686765529215 s
Iteration 25: 47.87985388468951 s
Iteration 26: 48.34294855687767 s
Iteration 27: 48.750546612776816 s
Iteration 28: 49.74389629997313 s
Iteration 29: 49.23919091001153 s
Iteration 30: 49.63822184316814 s
Iteration 31: 50.084646532312036 s
Iteration 32: 50.53463633265346 s
Iteration 33: 51.55220172274858 s
Iteration 34: 50.89242292381823 s
Iteration 35: 50.9904027339071 s
Iteration 36: 51.7713080085814 s
Iteration 37: 51.8984864782542 s
Iteration 38: 52.693556752987206 s
Iteration 39: 53.00448801834136 s
Iteration 40: 52.8484370065853 s
Iteration 41: 54.52192201837897 s
Iteration 42: 53.756395735777915 s
Iteration 43: 54.56068447139114 s
Iteration 44: 54.36671861819923 s
Iteration 45: 54.69751401338726 s
Iteration 46: 55.132235436700284 s
Iteration 47: 55.054777136072516 s
Iteration 48: 55.556956043466926 s
Iteration 49: 55.99200585205108 s
Iteration 50: 56.33649920206517 s
Iteration 51: 56.61175161972642 s
Iteration 52: 57.23043150641024 s
Iteration 53: 57.497702741995454 s
Iteration 54: 57.955643880181015 s
Iteration 55: 57.9265311434865 s
Iteration 56: 58.02205358725041 s
Iteration 57: 58.22831837460399 s
Iteration 58: 59.01339882891625 s
Iteration 59: 58.972384308464825 s
