Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.6653789691627 s
Iteration 1: 41.86765398271382 s
Iteration 2: 42.17650848906487 s
Iteration 3: 42.46381668187678 s
Iteration 4: 43.31171230506152 s
Iteration 5: 43.64528942666948 s
Iteration 6: 43.64287021290511 s
Iteration 7: 43.89519216865301 s
Iteration 8: 44.38315280713141 s
Iteration 9: 44.4317825678736 s
Iteration 10: 44.444304417818785 s
Iteration 11: 45.195908199064434 s
Iteration 12: 45.62189991865307 s
Iteration 13: 45.59253555070609 s
Iteration 14: 45.996072597801685 s
Iteration 15: 46.728091318160295 s
Iteration 16: 47.01576282642782 s
Iteration 17: 47.05891625396907 s
Iteration 18: 47.26454371307045 s
Iteration 19: 47.80663069430739 s
Iteration 20: 48.03866441361606 s
Iteration 21: 48.74281434994191 s
Iteration 22: 48.78754144720733 s
Iteration 23: 48.99856804963201 s
Iteration 24: 49.40324539784342 s
Iteration 25: 50.199128109030426 s
Iteration 26: 50.12925175204873 s
Iteration 27: 50.54532257281244 s
Iteration 28: 50.57699294574559 s
Iteration 29: 51.00502235814929 s
Iteration 30: 51.170657962560654 s
Iteration 31: 52.00579204317182 s
Iteration 32: 52.194290208630264 s
Iteration 33: 52.213948470540345 s
Iteration 34: 52.5631184624508 s
Iteration 35: 53.26628441363573 s
Iteration 36: 53.48467241041362 s
Iteration 37: 53.46636224910617 s
Iteration 38: 54.193860188126564 s
Iteration 39: 54.25761564448476 s
Iteration 40: 54.72169319353998 s
Iteration 41: 54.98103337734938 s
Iteration 42: 55.699800465255976 s
Iteration 43: 55.77922425698489 s
Iteration 44: 55.97098645195365 s
Iteration 45: 56.30638181976974 s
Iteration 46: 56.789369783364236 s
Iteration 47: 56.966707470826805 s
Iteration 48: 57.7133724084124 s
Iteration 49: 57.93654454033822 s
Iteration 50: 58.26039657276124 s
Iteration 51: 58.19815380778164 s
Iteration 52: 59.51663438603282 s
Iteration 53: 58.93759510573 s
Iteration 54: 59.67134177219123 s
Iteration 55: 59.64799167495221 s
Iteration 56: 60.08554079104215 s
Iteration 57: 60.39829829521477 s
Iteration 58: 60.64671132154763 s
Iteration 59: 60.93748444505036 s
