Acquisition function: SDP-l1
Number of variables: 20
Budget: 500
Initial model with 100: 32.969939129427075 s
Iteration 1: 38.936493643559515 s
Iteration 2: 38.378347844816744 s
Iteration 3: 38.85063593555242 s
Iteration 4: 41.06418292131275 s
Iteration 5: 39.2649934515357 s
Iteration 6: 40.57510638330132 s
Iteration 7: 40.2783194379881 s
Iteration 8: 40.40915594715625 s
Iteration 9: 40.64847618713975 s
Iteration 10: 41.075081770308316 s
Iteration 11: 41.312891736626625 s
Iteration 12: 41.5249349437654 s
Iteration 13: 41.868457273580134 s
Iteration 14: 42.1428343905136 s
Iteration 15: 42.551060972735286 s
Iteration 16: 42.88200257346034 s
Iteration 17: 43.145386087708175 s
Iteration 18: 43.647156266495585 s
Iteration 19: 44.05851857550442 s
Iteration 20: 44.310718099586666 s
Iteration 21: 44.49164100177586 s
Iteration 22: 44.86765557061881 s
Iteration 23: 45.44367244839668 s
Iteration 24: 45.54922132007778 s
Iteration 25: 46.01114175282419 s
Iteration 26: 46.72115304041654 s
Iteration 27: 46.771247094497085 s
Iteration 28: 46.65519609581679 s
Iteration 29: 47.23557985574007 s
Iteration 30: 47.97105036582798 s
Iteration 31: 48.10655779205263 s
Iteration 32: 48.26266954187304 s
Iteration 33: 48.44105285406113 s
Iteration 34: 48.80594704858959 s
Iteration 35: 49.371109165251255 s
Iteration 36: 49.52108216006309 s
Iteration 37: 50.30077003501356 s
Iteration 38: 50.533551873639226 s
Iteration 39: 50.451875190250576 s
Iteration 40: 50.991102669388056 s
Iteration 41: 51.61728215403855 s
Iteration 42: 51.49886257760227 s
Iteration 43: 51.97042640205473 s
Iteration 44: 52.42412045318633 s
Iteration 45: 53.47953358106315 s
Iteration 46: 52.96890518814325 s
Iteration 47: 53.966338731348515 s
Iteration 48: 53.39946259185672 s
Iteration 49: 53.74771473929286 s
Iteration 50: 54.28273726068437 s
Iteration 51: 54.52794555481523 s
Iteration 52: 54.71389095392078 s
Iteration 53: 55.20652557723224 s
Iteration 54: 55.7955550737679 s
Iteration 55: 55.61092855781317 s
Iteration 56: 56.193936167284846 s
Iteration 57: 56.45387773681432 s
Iteration 58: 56.828979837708175 s
Iteration 59: 58.13070218358189 s
