,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9654927756250188,0.9646167855330681,0.9845513518858683,0.9472113907946628,0.9179463739427354,0.9507610331811547,0.9838232838905089,0.9208194626749113,0.9461164455012098,0.9428740485960572,0.9831604537538154,0.9193901169456601,0.9839341351723793,0.9186916240554415,0.9055108196813928,0.8857535752502296
Fourier,0.9388966810944565,0.8962243525630663,0.9566318294778557,0.841996640797351,0.8868813309478215,0.8384430608379109,0.8882529853657686,0.7980802152768273,0.9077446093921262,0.9237180508439594,0.8846107136571527,0.8238672891299469,0.9519571350839648,0.9223677769668455,0.8206820463947244,0.9037564568060468
Optimal,0.9287711356528368,0.8962243525630663,0.9468430462009622,0.81432518581366,0.8824465967067501,0.8340043192680971,0.8814750739794902,0.7980802152768273,0.9077446093921262,0.9103266144552434,0.8757568679742495,0.8238672891299469,0.9406099442744592,0.9167188080361147,0.8204273357228851,0.8777335885466138
