,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9318416098921094,0.9493169164192561,0.9548947220011526,0.9242679032304233,0.9371080395272833,0.9143767781039422,0.9191662383229172,0.9499786792423459,0.8829055228653714,0.9655923774401627,1.0113271510813924,0.9599600344338732,1.0042214313154232,0.9164752633769275,0.9284806305102355,0.9309627333703266
Fourier,0.8316981433298782,0.8377972678119232,0.8001187344711496,0.8403617793500119,0.814334052652193,0.8917227198862858,0.8178817434009952,0.8010735097312787,0.8176666372210738,0.888443476795537,0.9445948098519474,0.9331623040898076,0.8888837807549694,0.789971872650688,0.8303110850593851,0.788639570945587
Optimal,0.8048734044248715,0.8224864257918073,0.7483424646431729,0.7957890266536708,0.7605250120190014,0.8141385824185986,0.7593036330299959,0.7814215781472401,0.7657781927893871,0.8629123056665877,0.9224426076554981,0.8593191905640997,0.8249453559345735,0.7655762739607123,0.76791555591939,0.7721405760787439
