,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.89577982911384,0.9524679843318186,0.9371594367919269,0.972294528316967,0.9092702121263884,0.9294110174918017,0.9096519216827202,0.9637723573953622,0.9392448501025988,0.9736150334827989,0.8879144407948083,0.9320728572128544,0.9817344854525931,0.9107308200100614,0.8800562580470598,0.9561639753040179
Fourier,0.8553548152343676,0.85257985828103,0.8598990889208212,0.8739155160214775,0.6783508503383283,0.8216567290555503,0.8523560237433605,0.89994562909427,0.8422185376944467,0.9518480358917218,0.8243524285408743,0.8939287482046987,0.8612643934866006,0.7296813795929621,0.7878080281350892,0.892652036406605
Optimal,0.7695075520980823,0.7712570590638284,0.6963306241360641,0.8332239796514266,0.6029931647990091,0.7388486717771515,0.699427491589506,0.8359011963795046,0.8041791969228491,0.8737252635768488,0.714276510017055,0.7577752976859531,0.8426316067916076,0.6762049845221234,0.6862768910522048,0.7457619400116037
