,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.982215388345289,0.9573054754542258,0.9982077464734682,0.960051659626827,0.8354462786966383,1.005450196857696,0.89577982911384,0.9853024377919077,0.9371594367919269,0.972294528316967,0.9206633209057528,1.0043103074258106,0.9590032986981456,0.9375610056837552,0.9482547276247406,0.9365040456280439,0.9847661629450443,0.9637723573953622,0.9475281976992437,0.968884607330984,0.9736150334827989,0.8879144407948083,0.9320728572128544,0.9885562911875262,0.9631522040720459,1.0033886405583259,0.9473830940294687,0.9853936015822838,0.9817344854525931,0.9107308200100614,0.8800562580470598,0.9561639753040179
Fourier,1.0119738901461102,0.954317234741796,0.986815405474539,0.9743130531113333,0.9900012333689711,1.0,0.8846988791798823,0.9940855327006655,0.9855613112618363,0.9904662249844417,0.8597616687908519,1.0,0.9405117608881174,0.9796579767139213,0.9944233664087577,0.9532560193815193,0.9573755040006314,0.9892354808676012,0.9583661198464513,0.9515285356646587,0.9518792997019363,0.9393542122228917,0.9052906865034894,1.0,0.9651315391447881,0.9996821764618392,0.9007721123837824,0.9691436390154019,0.974858287672678,0.8825892016441587,0.8467651376490787,0.9269583066526867
Optimal,0.7822169722875181,0.7618832812175937,0.8304143934437692,0.8469874079759325,0.6459024277596314,0.876068293268159,0.7695075520980823,0.7712570590638284,0.6963306241360641,0.8332239796514266,0.6029931647990091,0.8925660439160429,0.7464530322882471,0.7388486717771515,0.699427491589506,0.768943721498474,0.8614711048877877,0.8359011963795046,0.8041791969228491,0.7375722283971722,0.8737252635768488,0.714276510017055,0.7577752976859531,0.7819490879683514,0.8763112967026431,0.8405625965041429,0.7827579518027715,0.7841515413667166,0.8426316067916076,0.6762049845221234,0.6862768910522048,0.7457619400116037
