,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0391089275810343,0.9470738519853603,0.9714036949617677,0.893106609424709,0.8753667488042544,0.967287586372958,0.9004136758691867,0.9917474363533593,0.9601122301969234,0.996586870662159,0.875055482024502,1.0144593396591906,1.002573759641144,0.9472276554202791,0.9563107545010844,0.918863163649153,1.0373398983479505,1.0067060893965052,0.961636349320008,0.9753862682350031,0.9845445886724011,0.9068058830547097,1.0061467867871499,0.9575905694930402,0.9404806737052183,0.9159823273565942,0.9452737563381998,0.9936237058605861,0.9882975466279645,0.9806145516987743,0.9378853298253325,0.904054171052036
Fourier,1.0,0.9780592295247541,1.0,0.9463110502824207,0.7675192927891439,0.9778785824485668,1.001913091099352,1.0,0.9630880272052423,0.9753137644704579,0.8014627224410766,1.0,1.0,0.98396842301267,0.9862983327388563,0.8631428244813547,0.9666357477676747,1.0,1.0,0.9797590624759566,1.0,0.9809485763037258,1.0,0.9817537867101983,0.9654119982853245,0.8983835686274462,0.9715659075847914,0.9922924685610494,0.9711107495293158,0.9936687382450404,0.9663726824653143,0.867609883773271
Optimal,0.9366038785579416,0.8566543827221325,0.8397568186138438,0.7532833064527189,0.6913940171822102,0.9164068272389649,0.8229178367279428,0.7631684370670098,0.8446534384032096,0.8640176848103811,0.7152615796977864,0.9129243877152735,0.833553584702539,0.7671490615878912,0.8094809659891637,0.7859102308968939,0.9204411572531077,0.9034385528134524,0.7995733626324005,0.856967509764323,0.9049547608579691,0.8310187115251563,0.919339575341545,0.8716903114316437,0.8596036717730517,0.7913596456888667,0.8606467295682453,0.8885454326777298,0.838243344344722,0.8636556194278652,0.811277819823785,0.7849214411955532
