,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9535024097944121,0.942188097831866,0.9807360386431865,0.9358877085269718,0.9282099304587348,0.9046540745740499,1.0203718608231085,0.9926663538836317,0.9268387549178649,0.921834007112509,0.936345933255158,1.0391065965801112,0.9868127597312024,0.9466159955869842,0.9285909070272593,0.881494635450264,0.9774239571424224,0.9828299556012817,0.9106468502531463,0.9652873483139736,0.9660119344060735,0.9977778205798916,0.9398697342216256,0.9056412035038282,0.7991098437481691,0.9572422715309032,0.951370388300098,0.9899396071380399,1.007088525204958,0.9592729169106887,0.9393545384057589,0.931078347715496
Fourier,0.922540793604464,0.9531976443936425,0.8983067545946823,0.9205372249414914,0.9214588927273938,0.909449617547347,1.0,0.928862323011377,0.9139135087196724,0.9399031305246408,0.8165719402002632,0.9788023563683408,0.969358748027904,0.9211595186376101,0.9301158094221238,0.8252722207451468,0.9449949502603281,0.9309132650971681,0.8833050708625045,0.9364205666652573,0.9644409422787368,0.9495897789066016,0.9524574082920947,0.8359530548521606,0.7502400094553068,0.9064366771002305,0.9070790961740892,0.9835351862665103,1.011331597161103,0.9287832200438421,0.9333404909455988,0.9379748330853842
Optimal,0.7772743434053944,0.7059090735666929,0.7760685007283086,0.7640867366237077,0.6053640899425106,0.8105181769428387,0.8580536558330072,0.7902770326878072,0.6896493653713105,0.6890017746086156,0.6863474160859426,0.8979253505493784,0.8372768814775363,0.7543612454284131,0.7152931486406084,0.6921443219671254,0.8401009191357037,0.8650365369976514,0.6906026191024252,0.7738789418651539,0.7855351035712412,0.8322631201069896,0.7922109860757196,0.6897389787106619,0.5704486868729606,0.7530224687357638,0.8710700136144377,0.8593364553599977,0.8618008083254275,0.8209567917367118,0.8037965005256473,0.6898844076143803
