,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9554674751382103,0.9365051424474058,0.9837975114773753,0.9157763261021622,0.9316209712531667,0.9093851748197207,0.9959830965007477,0.9449213952252163,0.9295485575782831,0.9139191472395852,0.911614380660412,1.0100941862129356,0.9657594197203575,0.8759896192053256,0.9228801133270982,0.8763071587423016,0.9642322978000094,0.9780276198964137,0.8774929981653167,0.9381461881754879,0.9325467477491325,0.9539445726553502,0.9334012671976554,0.8968673502803554,0.79605530699197,0.9328056660628969,0.9449743907727804,0.9579543498497454,0.9934574332656446,0.9369565650625479,0.9170445564337247,0.8607618557648712
Fourier,0.7795011377657884,0.7059090735666929,0.7816702025307192,0.7827130265749551,0.6053640899425106,0.8117613656672139,0.8580536558330072,0.7960299402666458,0.6959820092220443,0.7024901072860911,0.6881007620319365,0.9068591532561882,0.8434176743159519,0.7631424650731111,0.7403629965698851,0.706090302008171,0.8488856774318021,0.8884410033736058,0.7043863281018772,0.7766015309256644,0.7992609407492651,0.8339782085949354,0.8031458979138014,0.6915481227007846,0.6029050439685173,0.7839889355755801,0.8725232622773459,0.8685006081215241,0.8625257263216771,0.8255618593143697,0.8069266097783349,0.6962428184120895
Optimal,0.7772743434053944,0.7059090735666929,0.7760685007283086,0.7640867366237077,0.6053640899425106,0.8105181769428387,0.8580536558330072,0.7902770326878072,0.6896493653713105,0.6890017746086156,0.6863474160859426,0.8979253505493784,0.8372768814775363,0.7543612454284131,0.7152931486406084,0.6921443219671254,0.8401009191357037,0.8650365369976514,0.6906026191024252,0.7738789418651539,0.7855351035712412,0.8322631201069896,0.7922109860757196,0.6897389787106619,0.5704486868729606,0.7530224687357638,0.8710700136144377,0.8593364553599977,0.8618008083254275,0.8209567917367118,0.8037965005256473,0.6898844076143803
