,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0367330852041319,0.9286727687048215,0.8995560419215614,0.9283337368141323,1.003909257759627,0.9286961059340517,0.9611168784639412,0.9373305755842442,0.9488330521800573,1.009826746686184,0.9226137865517425,0.9429075004046198,0.8889074395069817,0.9144678813607271,0.8932111922885488,0.8947157838909982,0.8927815568547797,0.9071563911703003,0.9442229781008836,0.9277172835943391,1.0200961131432371,0.9522109503201357,0.9270043748874892,0.9469310855832918,0.9025368652168035,0.9469918636471273,0.9438709225062273,0.9569434545621782,0.9789835044405614,1.0079721561647872,0.9784885817878625,0.859022523974259
Fourier,0.9729993338229331,0.7974568670621992,0.6853884122759692,0.7921293655696762,0.9506369386934658,0.7855905986548697,0.7455402057235241,0.6483795660605011,0.8266034299727544,0.889242981927584,0.821020978486374,0.8159461895787278,0.7558935685191451,0.7699228199697747,0.7959542956726201,0.7824812004091116,0.7483739556643856,0.6759998123915016,0.8914841567053896,0.7315537410785102,0.9455465143744783,0.8244911891427784,0.7597520695368232,0.7571083013551212,0.8410130469474487,0.8616559532548045,0.8788427803979416,0.8169741454152029,0.8288712556290703,0.9217764360803511,0.9606982145678321,0.6971180742826267
Optimal,0.939223237358827,0.7413627086943659,0.6336935771906005,0.71687005865128,0.8589276499565964,0.7746438942241389,0.715123334215477,0.6251236910600697,0.7771114643941437,0.8005573908491477,0.7330492853252351,0.78277710949338,0.6955490630047937,0.6915040333746606,0.7598200856245687,0.7155601735807378,0.7257809936328917,0.6740964774480646,0.8132668797474056,0.7055825962177402,0.9150794434308638,0.8014162698582639,0.7227833478042047,0.7195477876286771,0.8071379705969781,0.7801895480199279,0.7513290055906636,0.7831785168228046,0.8045921378906365,0.8794600680778167,0.9057645882831453,0.6791858509285772
