,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0171387268895613,0.9561241205410016,0.9774921390947723,0.9835841007316344,0.9667736216387577,1.04033148111229,0.995649617535647,0.9215766176031127,0.9543788212184829,0.9690072515609345,0.9819430080098455,0.9896267034379325,0.9566047564703757,0.9745588043509671,0.9368445413487896,0.9025212967870108,0.9519391536472458,0.8850491620240887,0.9665755945831107,0.9439626341127905,0.974230822691733,0.916978180705928,0.9495637586912057,0.9460862086824284,0.952281658650512,0.9248792296556408,0.9288804857753932,0.9520688686746711,0.9306586800672935,0.9372668497921065,0.964144477450462,0.9612785859685405
Fourier,0.985471157595609,0.9235519506511384,0.8414949337735228,0.9628925799070672,0.855850980801597,0.9793247568848826,0.9456181900531719,0.8198741702708138,0.8671228962953211,0.8633507556261247,0.9305342147169018,0.8533342942931915,0.8603292135103673,0.9022793769782003,0.8206063013603875,0.7981233031982264,0.9152775536310206,0.738914649074379,0.9135647693790995,0.9088035600524224,0.9284020980815635,0.9422632080253016,0.8246585726489479,0.8558555245988689,0.9147067127086634,0.8825601133348189,0.8517755498301016,0.8585521331256475,0.8064945857177607,0.8791520658901466,0.9111400221978287,0.8739696573080302
Optimal,0.8180395979376598,0.8058377310021323,0.7785946775912227,0.8095287849353319,0.7722431801635837,0.893184740391171,0.840350942339181,0.7231741527810294,0.785721338668731,0.6567243299553756,0.7755441639500091,0.8368772798953809,0.8088510109881305,0.8287346400680339,0.7640624955452662,0.7462741429722252,0.851754323295805,0.6580740955155442,0.7839282761660892,0.7293304247705773,0.8677153260453108,0.7176150638204977,0.7733418538836507,0.7280467563231785,0.7505007211813676,0.7605049989691596,0.7878607371216508,0.7574054092344847,0.7127755029420108,0.7664246089070884,0.8194241118238841,0.7240496112513034
