,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.986565908149814,0.9192088791821047,0.9342107472282497,0.9354522984552532,0.9096974173479041,0.9550629487530862,0.9796633311394631,0.9765761208188558,0.9315065409752391,0.9482552607209357,0.9523823617040074,0.9856174075764441,0.9413817070123384,0.9329312270278824,0.9643438249367058,0.84483046495926,0.950985695932386,0.9572976225457533,0.9574338256655657,0.9602022812579433,0.9651434382071161,0.9861834911126262,0.9159314213950709,0.918812081873362,0.8412851415371714,0.9473167326840115,0.9922381981645019,0.823291740730021,1.0152212562707967,0.9010978186727034,0.8814383776817729,0.9156713292542704
Fourier,0.8036084813002583,0.6729503281001921,0.7003467358422882,0.7891143206720801,0.7003519020340234,0.7925513184450208,0.8383781647415349,0.898516815680913,0.7977832426596793,0.8533911112884958,0.6717150751220566,0.7959354239636847,0.782352808638517,0.7748421398048552,0.8482855917636033,0.5809959916952607,0.8402411537323946,0.8046331662736412,0.836435518160558,0.8048220863190322,0.7944266725623377,0.8875838416154354,0.7370445445589735,0.6620110732955715,0.6495602657198026,0.7922889466855667,0.9185876355741474,0.6221999430847746,0.9402980244776414,0.7204324852686719,0.7179436274389271,0.7263468273324071
Optimal,0.7905022092200666,0.649044022543054,0.6886243042286553,0.7849743658127528,0.6874304797519949,0.7536109473188448,0.8164079909556513,0.8739918893877527,0.7935799017831693,0.8446036420074561,0.6537374098634621,0.7862573747899624,0.7711776066142645,0.7748421398048552,0.8258063518792231,0.5606299404702333,0.8144708060600758,0.7699724528926046,0.8137662868768082,0.8027304296165028,0.7743310538301797,0.8724013991351147,0.7224471136345076,0.648098569586357,0.639740447445255,0.7750983241222483,0.9136235735587218,0.5885969146189133,0.929939612219011,0.7204324852686719,0.7011394977415248,0.6989803640645856
