,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0014643431498431,0.8992749175392311,0.9462071080818264,0.9507672001719317,0.8977535754521672,1.001970683206804,0.9369412388901539,0.9536444560164892,0.907591126263922,0.9869437355197873,0.8962931205549604,0.9592752286218926,0.9562304304592383,0.9469549190805256,0.9460587512180133,0.9267519801483699,0.9579286879196333,0.9467613425448571,0.8565238461216294,0.9973082079936827,0.9010542903941905,0.9736604771226308,0.9623127838970448,0.9709144466696495,0.8668402669798586,0.9432436565159689,0.9810551708531932,0.9262440730235983,1.0020699132827542,0.911353700752125,0.8924964767035737,0.9385898389407937
Fourier,0.8947390392815716,0.6388701767946522,0.7135678657367363,0.7321044665462265,0.6960983233326997,0.9039001106805101,0.8634218316154519,0.7974028435409788,0.7484581476366022,0.8447833477283136,0.7782967730765352,0.8273281667863497,0.8053293570106161,0.8007438471385376,0.8568740345301029,0.7701313704839592,0.6756469821805848,0.7983681564397092,0.7272281198698796,0.9194025276950303,0.7805099301138153,0.8685442063242249,0.812936163194217,0.8840837672364559,0.6511787021100145,0.7829072151523753,0.9074099433018065,0.7479033894077904,0.8629327663694215,0.8245063803267202,0.7070606267545541,0.7584336488965978
Optimal,0.8530647936905604,0.6273161258014225,0.7093562785371366,0.7321044665462265,0.6935483753544812,0.8816806980676488,0.8608276291381941,0.7974028435409788,0.7380493910354767,0.8385201845612307,0.7762556677430206,0.8164469784779878,0.8053293570106161,0.7772477152934149,0.827340216945025,0.7461955198735378,0.6756469821805848,0.7952770597990279,0.7125796304719023,0.9064197061998899,0.7802833512130177,0.8511161604384281,0.7951994088280836,0.8737911138099352,0.6465704748082374,0.7797048663857791,0.8951843523652586,0.7367223601266212,0.8616705359549097,0.8088982616406953,0.6965517904331926,0.7448742025454663
