,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,1.0342262094829788,0.9988789986288056,0.9375806153406023,0.9139191472395852,0.9512543093580773,0.9569512552758828,0.9228801133270982,0.979849029432486,0.912953114986097,0.9641549535792093,0.9896375998225865,0.9334012671976554,1.020645202432248,0.9650374259103962,0.9549225277629472,0.9325354441468742
Fourier,0.947570067601121,0.925120983565634,0.8443312157746969,0.9309213971549514,0.926102183010894,0.9415705960296916,0.9260859530670322,0.9336461274301415,0.8504067651022293,0.9301774699861218,0.9611293808862319,0.968865994677773,0.9779476232379659,0.8507659699736705,0.9051745099109942,0.894369831450344
Optimal,0.8580536558330072,0.7902770326878072,0.6896493653713105,0.6890017746086156,0.6863474160859426,0.7543612454284131,0.7152931486406084,0.8650365369976514,0.6906026191024252,0.7855351035712412,0.8322631201069896,0.7922109860757196,0.8618008083254275,0.8209567917367118,0.8037965005256473,0.6898844076143803
