,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9604391623576268,0.9578244759820369,0.9822964254802429,0.9161046420164695,0.922530128175703,0.9203615971958949,0.9526056347305477,0.9120395968137464,0.9397132220541587,0.9352381822461292,0.9390431266572108,0.9036920968392075,0.9828347695767575,0.914631543598167,0.9029805524571437,0.8857394288055834
Fourier,0.9378337078888296,0.8962243525630663,0.961316834473261,0.841996640797351,0.8824465967067501,0.8384430608379109,0.886373943564803,0.7980802152768273,0.9077446093921262,0.9237180508439594,0.8846107136571527,0.8238672891299469,0.9458717886384458,0.9167188080361147,0.8206820463947244,0.8780144511302878
Optimal,0.9287711356528368,0.8962243525630663,0.9468430462009622,0.81432518581366,0.8824465967067501,0.8340043192680971,0.8814750739794902,0.7980802152768273,0.9077446093921262,0.9103266144552434,0.8757568679742495,0.8238672891299469,0.9406099442744592,0.9167188080361147,0.8204273357228851,0.8777335885466138
