,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9402398135905546,0.9790352895773389,0.9307062074777858,0.9787842389356259,0.9174894920756289,0.9473767703252735,0.9422698011316154,0.9610421762484062,0.9179091040725403,0.8964317199963405,0.964135518583813,0.9537466911430568,1.0220640660671478,0.9605255248215185,0.9113058882637486,0.9362772104635578
Fourier,0.8822891522392018,0.9521794901371698,0.8588882592583315,0.951400952307026,0.8446133574326427,0.9023258737862201,0.9359018382426688,0.921683724536835,0.8894470676070728,0.8790637201864868,0.9662940963362686,0.9655792067889242,0.9569939347162526,0.8727797465484003,0.8487953810662395,0.9179960563150753
Optimal,0.8608276291381941,0.7974028435409788,0.7380493910354767,0.8385201845612307,0.7762556677430206,0.7772477152934149,0.827340216945025,0.7952770597990279,0.7125796304719023,0.7802833512130177,0.8511161604384281,0.7951994088280836,0.8616705359549097,0.8088982616406953,0.6965517904331926,0.7448742025454663
