,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9190856464320591,0.9819140377410264,0.93547437477974,0.9449614950419365,0.9031293305293466,0.9221108565540306,0.9546620266590089,0.8871748723560228,0.9102359367130746,0.8780643483830766,0.9776260008304778,0.9761321502634713,0.9634886514965162,0.8761288066051339,0.9085401242546974,0.9218958146942126
Fourier,0.7650412311153674,0.9059946902098004,0.8448130723573959,0.7263812760820736,0.8092651684851888,0.9038672051218859,0.8777679568274858,0.7888895086067583,0.827367345892751,0.7157078649575512,0.8457015197247997,0.866370514785169,0.8772341818029974,0.7018513500324566,0.8297305530373461,0.7419826282902816
Optimal,0.7509492887992522,0.8978426496228034,0.8075867304375806,0.7160021235131016,0.7934012020782362,0.8146235063373266,0.8233485668206411,0.6997696478860903,0.8012622658412545,0.6933932465368389,0.8364710941293059,0.8564050172061671,0.8460411387328135,0.6920366070619987,0.7859488050189514,0.7249692673865509
