,avgpool-armcl-opencl::,avgpool-armcl-opencl-uint8::,avgpool-caffe-cpu::,avgpool-caffe-opencl::,avgpool-tensorflow-cpu::,avgpool-tensorflow-cpu-uint8::,cbench-automotive-bitcount:number-0001:,cbench-automotive-qsort1:cdataset-qsort-0001:,cbench-automotive-susan:image-pgm-0001:corners,cbench-automotive-susan:image-pgm-0001:edges,cbench-automotive-susan:image-pgm-0001:smoothing,cbench-bzip2::encode,cbench-bzip2::decode,cbench-consumer-jpeg-c:image-ppm-0001:,cbench-consumer-jpeg-d:image-jpeg-0001:,cbench-consumer-lame::,cbench-consumer-mad::,cbench-consumer-tiff2bw:image-tiff-0001:,cbench-consumer-tiff2dither:image-tiff-0001-bw:,cbench-consumer-tiff2median::,cbench-consumer-tiff2rgba:image-tiff-0001:,cbench-network-dijkstra:cdataset-dijkstra-0001:,cbench-network-patricia:cdataset-patricia-0001:,cbench-office-stringsearch2::,cbench-security-blowfish::,cbench-security-pgp::,cbench-security-rijndael::,cbench-security-sha::,cbench-telecom-adpcm-c:pcm-0001:,cbench-telecom-adpcm-d:adpcm-0001:,cbench-telecom-crc32:pcm-0001:,cbench-telecom-gsm:au-0001:
Default,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Train,0.9773551060166621,0.9346395818940747,0.9907902512375588,0.9389169664687309,0.8372958606893818,0.9980266056970583,0.8940624940472404,0.9430051028571118,0.9366818352549471,0.9705896943174334,0.8436219775153613,0.9967430524189475,0.9487494455241041,0.9029549677944367,0.9063240497072136,0.9366158302116716,0.9732204290227718,0.9635926743959685,0.9392741985058053,0.8950744921174931,0.9766957911886137,0.8964472626298261,0.9148539023249354,0.9437317221617524,0.9634815951827702,0.9634502303295739,0.9347107957206755,0.9422699169531511,0.9668596239736211,0.9145749457013843,0.871512114468181,0.9511700311854465
Fourier,0.869623889803323,0.8502253114812565,0.9202012491039969,0.8956402337388298,0.7265763476847377,0.9310258773018013,0.8168220821263745,0.934369667096595,0.8804380951559948,0.8998134128768476,0.6572455301228538,1.0121838711950353,0.7932571103256204,0.7834902936627155,0.8002260746963512,0.8333284060587598,0.9118637283636285,0.8891245461078926,0.8924098868746366,0.7542758077688438,0.9257042181624469,0.8887741557310407,0.8915214258435882,0.931609749553043,0.9090105978021207,0.9686928196070986,0.8313625225977327,0.939275696234208,0.8715742336294146,0.7369714685261001,0.7551685808595306,0.7907330499094307
Optimal,0.7822169722875181,0.7618832812175937,0.8304143934437692,0.8469874079759325,0.6459024277596314,0.876068293268159,0.7695075520980823,0.7712570590638284,0.6963306241360641,0.8332239796514266,0.6029931647990091,0.8925660439160429,0.7464530322882471,0.7388486717771515,0.699427491589506,0.768943721498474,0.8614711048877877,0.8359011963795046,0.8041791969228491,0.7375722283971722,0.8737252635768488,0.714276510017055,0.7577752976859531,0.7819490879683514,0.8763112967026431,0.8405625965041429,0.7827579518027715,0.7841515413667166,0.8426316067916076,0.6762049845221234,0.6862768910522048,0.7457619400116037
